Record,Pedersen
urn:cite:chron:almking.85,urn:cite:chron:pedersen.28
urn:cite:chron:almking.86,urn:cite:chron:pedersen.33
urn:cite:chron:almking.87,urn:cite:chron:pedersen.52
urn:cite:chron:almking.88,urn:cite:chron:pedersen.59
urn:cite:chron:almking.89,urn:cite:chron:pedersen.68
urn:cite:chron:almking.90,urn:cite:chron:pedersen.79
urn:cite:chron:almking.91,urn:cite:chron:pedersen.94
urn:cite:chron:almking.92,urn:cite:chron:pedersen.6
urn:cite:chron:almking.93,urn:cite:chron:pedersen.14
urn:cite:chron:almking.94,urn:cite:chron:pedersen.18
urn:cite:chron:almking.95,urn:cite:chron:pedersen.21
urn:cite:chron:almking.96,urn:cite:chron:pedersen.24
urn:cite:chron:almking.97,urn:cite:chron:pedersen.28
urn:cite:chron:almking.98,urn:cite:chron:pedersen.33
urn:cite:chron:almking.99,urn:cite:chron:pedersen.52
urn:cite:chron:almking.100,urn:cite:chron:pedersen.60
urn:cite:chron:almking.101,urn:cite:chron:pedersen.69
urn:cite:chron:almking.102,urn:cite:chron:pedersen.73
urn:cite:chron:almking.103,urn:cite:chron:pedersen.82
urn:cite:chron:almking.104,urn:cite:chron:pedersen.87
urn:cite:chron:almking.105,urn:cite:chron:pedersen.7
urn:cite:chron:almking.106,urn:cite:chron:pedersen.15
urn:cite:chron:almking.107,urn:cite:chron:pedersen.21
urn:cite:chron:almking.108,urn:cite:chron:pedersen.25
urn:cite:chron:almking.109,urn:cite:chron:pedersen.29
urn:cite:chron:almking.110,urn:cite:chron:pedersen.50
urn:cite:chron:almking.111,urn:cite:chron:pedersen.55
urn:cite:chron:almking.112,urn:cite:chron:pedersen.65
urn:cite:chron:almking.113,urn:cite:chron:pedersen.76
urn:cite:chron:almking.114,urn:cite:chron:pedersen.84
urn:cite:chron:almking.115,urn:cite:chron:pedersen.91
urn:cite:chron:almking.116,urn:cite:chron:pedersen.13
urn:cite:chron:almking.117,urn:cite:chron:pedersen.17
urn:cite:chron:almking.118,urn:cite:chron:pedersen.20
urn:cite:chron:almking.119,urn:cite:chron:pedersen.23
urn:cite:chron:almking.120,urn:cite:chron:pedersen.27
urn:cite:chron:almking.121,urn:cite:chron:pedersen.49
urn:cite:chron:almking.122,urn:cite:chron:pedersen.54
urn:cite:chron:almking.123,urn:cite:chron:pedersen.63
urn:cite:chron:almking.124,urn:cite:chron:pedersen.75
urn:cite:chron:almking.125,urn:cite:chron:pedersen.84
urn:cite:chron:almking.126,urn:cite:chron:pedersen.90
